"d_phi_p [deg]","fc [GHz]","Time [us]","re(SP(i1)) [mV]","re(SP(i2)) [mV]","re(SP(i3)) [mV]","re(SP(i4)) [mV]","re(SP(q1)) [mV]","re(SP(q2)) [mV]","re(SP(q3)) [mV]","re(SP(q4)) [mV]"
98,2.472,96,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
98,2.472,104,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
98,2.472,112,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
98,2.472,120,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
98,2.472,128,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
98,2.472,136,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
99,2.472,0,-4.3953543979333,-0.920356148833097,10.5500420767531,-1.65794650750943,-132.334716867621,-119.718188768957,-111.149171324543,-130.944525322723
99,2.472,8,-4.39371582732518,-0.91985782524355,10.5512153942455,-1.65579112266708,-132.345816723105,-119.728906414722,-111.157651779512,-130.955600309287
99,2.472,16,-4.39255458040189,-0.919504451869141,10.5520477253379,-1.65426369697043,-132.353686409602,-119.736504796344,-111.163664354967,-130.963452459733
99,2.472,24,-4.39139118355443,-0.919150246328245,10.5528822689624,-1.65273351403034,-132.361573392233,-119.744119609851,-111.169690159858,-130.971321947315
99,2.472,32,-4.38974223243784,-0.918647904768099,10.5540662692983,-1.65056481635468,-132.372756759082,-119.754916594096,-111.178234490855,-130.982480643222
99,2.472,40,-4.385743733042,-0.917428303911239,10.5569429388376,-1.64530658583603,-132.399897852979,-119.781117729202,-111.198970993834,-131.009562524527
99,2.472,48,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
99,2.472,56,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
99,2.472,64,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
99,2.472,72,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
99,2.472,80,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
99,2.472,88,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
99,2.472,96,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
99,2.472,104,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
99,2.472,112,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
99,2.472,120,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
99,2.472,128,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
99,2.472,136,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
100,2.472,0,-4.3953543979333,-0.920356148833097,10.5500420767531,-1.65794650750943,-132.334716867621,-119.718188768957,-111.149171324543,-130.944525322723
100,2.472,8,-4.39371582732518,-0.91985782524355,10.5512153942455,-1.65579112266708,-132.345816723105,-119.728906414722,-111.157651779512,-130.955600309287
100,2.472,16,-4.39255458040189,-0.919504451869141,10.5520477253379,-1.65426369697043,-132.353686409602,-119.736504796344,-111.163664354967,-130.963452459733
100,2.472,24,-4.39139118355443,-0.919150246328245,10.5528822689624,-1.65273351403034,-132.361573392233,-119.744119609851,-111.169690159858,-130.971321947315
100,2.472,32,-4.38974223243784,-0.918647904768099,10.5540662692983,-1.65056481635468,-132.372756759082,-119.754916594096,-111.178234490855,-130.982480643222
100,2.472,40,-4.385743733042,-0.917428303911239,10.5569429388376,-1.64530658583603,-132.399897852979,-119.781117729202,-111.198970993834,-131.009562524527
100,2.472,48,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
100,2.472,56,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
100,2.472,64,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
100,2.472,72,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
100,2.472,80,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
100,2.472,88,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
100,2.472,96,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
100,2.472,104,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
100,2.472,112,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
100,2.472,120,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
100,2.472,128,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
100,2.472,136,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
101,2.472,0,-4.3953543979333,-0.920356148833097,10.5500420767531,-1.65794650750943,-132.334716867621,-119.718188768957,-111.149171324543,-130.944525322723
101,2.472,8,-4.39371582732518,-0.91985782524355,10.5512153942455,-1.65579112266708,-132.345816723105,-119.728906414722,-111.157651779512,-130.955600309287
101,2.472,16,-4.39255458040189,-0.919504451869141,10.5520477253379,-1.65426369697043,-132.353686409602,-119.736504796344,-111.163664354967,-130.963452459733
101,2.472,24,-4.39139118355443,-0.919150246328245,10.5528822689624,-1.65273351403034,-132.361573392233,-119.744119609851,-111.169690159858,-130.971321947315
101,2.472,32,-4.38974223243784,-0.918647904768099,10.5540662692983,-1.65056481635468,-132.372756759082,-119.754916594096,-111.178234490855,-130.982480643222
101,2.472,40,-4.385743733042,-0.917428303911239,10.5569429388376,-1.64530658583603,-132.399897852979,-119.781117729202,-111.198970993834,-131.009562524527
101,2.472,48,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
101,2.472,56,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
101,2.472,64,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
101,2.472,72,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
101,2.472,80,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
101,2.472,88,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
101,2.472,96,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
101,2.472,104,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
101,2.472,112,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
101,2.472,120,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
101,2.472,128,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
101,2.472,136,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
102,2.472,0,-4.3953543979333,-0.920356148833097,10.5500420767531,-1.65794650750943,-132.334716867621,-119.718188768957,-111.149171324543,-130.944525322723
102,2.472,8,-4.39371582732518,-0.91985782524355,10.5512153942455,-1.65579112266708,-132.345816723105,-119.728906414722,-111.157651779512,-130.955600309287
102,2.472,16,-4.39255458040189,-0.919504451869141,10.5520477253379,-1.65426369697043,-132.353686409602,-119.736504796344,-111.163664354967,-130.963452459733
102,2.472,24,-4.39139118355443,-0.919150246328245,10.5528822689624,-1.65273351403034,-132.361573392233,-119.744119609851,-111.169690159858,-130.971321947315
102,2.472,32,-4.38974223243784,-0.918647904768099,10.5540662692983,-1.65056481635468,-132.372756759082,-119.754916594096,-111.178234490855,-130.982480643222
102,2.472,40,-4.385743733042,-0.917428303911239,10.5569429388376,-1.64530658583603,-132.399897852979,-119.781117729202,-111.198970993834,-131.009562524527
102,2.472,48,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
102,2.472,56,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
102,2.472,64,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
102,2.472,72,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
102,2.472,80,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
102,2.472,88,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
102,2.472,96,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
102,2.472,104,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
102,2.472,112,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
102,2.472,120,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
102,2.472,128,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
102,2.472,136,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
103,2.472,0,-4.3953543979333,-0.920356148833097,10.5500420767531,-1.65794650750943,-132.334716867621,-119.718188768957,-111.149171324543,-130.944525322723
103,2.472,8,-4.39371582732518,-0.91985782524355,10.5512153942455,-1.65579112266708,-132.345816723105,-119.728906414722,-111.157651779512,-130.955600309287
103,2.472,16,-4.39255458040189,-0.919504451869141,10.5520477253379,-1.65426369697043,-132.353686409602,-119.736504796344,-111.163664354967,-130.963452459733
103,2.472,24,-4.39139118355443,-0.919150246328245,10.5528822689624,-1.65273351403034,-132.361573392233,-119.744119609851,-111.169690159858,-130.971321947315
103,2.472,32,-4.38974223243784,-0.918647904768099,10.5540662692983,-1.65056481635468,-132.372756759082,-119.754916594096,-111.178234490855,-130.982480643222
103,2.472,40,-4.385743733042,-0.917428303911239,10.5569429388376,-1.64530658583603,-132.399897852979,-119.781117729202,-111.198970993834,-131.009562524527
103,2.472,48,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
103,2.472,56,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
103,2.472,64,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
103,2.472,72,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
103,2.472,80,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
103,2.472,88,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
103,2.472,96,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
103,2.472,104,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
103,2.472,112,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
103,2.472,120,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
103,2.472,128,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
103,2.472,136,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
104,2.472,0,-4.3953543979333,-0.920356148833097,10.5500420767531,-1.65794650750943,-132.334716867621,-119.718188768957,-111.149171324543,-130.944525322723
104,2.472,8,-4.39371582732518,-0.91985782524355,10.5512153942455,-1.65579112266708,-132.345816723105,-119.728906414722,-111.157651779512,-130.955600309287
104,2.472,16,-4.39255458040189,-0.919504451869141,10.5520477253379,-1.65426369697043,-132.353686409602,-119.736504796344,-111.163664354967,-130.963452459733
104,2.472,24,-4.39139118355443,-0.919150246328245,10.5528822689624,-1.65273351403034,-132.361573392233,-119.744119609851,-111.169690159858,-130.971321947315
104,2.472,32,-4.38974223243784,-0.918647904768099,10.5540662692983,-1.65056481635468,-132.372756759082,-119.754916594096,-111.178234490855,-130.982480643222
104,2.472,40,-4.385743733042,-0.917428303911239,10.5569429388376,-1.64530658583603,-132.399897852979,-119.781117729202,-111.198970993834,-131.009562524527
104,2.472,48,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
104,2.472,56,-4.97390402640299,-1.13886937187238,10.0631203402382,-2.40035081229357,-128.376110203628,-115.920934617868,-108.121105331311,-126.989778430501
