"d_phi_p [deg]","fc [GHz]","Time [us]","re(SP(i1)) [mV]","re(SP(i2)) [mV]","re(SP(i3)) [mV]","re(SP(i4)) [mV]","re(SP(q1)) [mV]","re(SP(q2)) [mV]","re(SP(q3)) [mV]","re(SP(q4)) [mV]"
112,2.408,24,88.3735555592428,61.0047667358042,54.266240092697,85.9903283517367,-30.2807049209398,-15.6413876706344,-13.9241451054933,-25.2507620218791
112,2.408,32,88.3769632854423,61.0057123155102,54.2661278161322,85.9938706891274,-30.2851278956782,-15.6436553743276,-13.9255059791716,-25.2546988710899
112,2.408,40,88.3852411688393,61.0080134806416,54.2658611161771,86.0024750301808,-30.295858522146,-15.6491572827436,-13.9288099904153,-25.2642494286823
112,2.408,48,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
112,2.408,56,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
112,2.408,64,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
112,2.408,72,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
112,2.408,80,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
112,2.408,88,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
112,2.408,96,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
112,2.408,104,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
112,2.408,112,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
112,2.408,120,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
112,2.408,128,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
112,2.408,136,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
113,2.408,0,88.3653794881659,61.0025021596451,54.2665153968418,85.9818287881765,-30.2700797782202,-15.6359402570382,-13.9208782707727,-25.2413040174245
113,2.408,8,88.3687573937458,61.0034370514907,54.2664006420612,85.985340432785,-30.2744717701903,-15.6381919562941,-13.9222282437934,-25.2452136763582
113,2.408,16,88.3711533884098,61.0041007868661,54.266320110752,85.9878312138589,-30.2775851371242,-15.6397881561145,-13.9231855458205,-25.2479850334111
113,2.408,24,88.3735555592428,61.0047667358042,54.266240092697,85.9903283517367,-30.2807049209398,-15.6413876706344,-13.9241451054933,-25.2507620218791
113,2.408,32,88.3769632854423,61.0057123155102,54.2661278161322,85.9938706891274,-30.2851278956782,-15.6436553743276,-13.9255059791716,-25.2546988710899
113,2.408,40,88.3852411688393,61.0080134806416,54.2658611161771,86.0024750301808,-30.295858522146,-15.6491572827436,-13.9288099904153,-25.2642494286823
113,2.408,48,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
113,2.408,56,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
113,2.408,64,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
113,2.408,72,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
113,2.408,80,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
113,2.408,88,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
113,2.408,96,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
113,2.408,104,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
113,2.408,112,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
113,2.408,120,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
113,2.408,128,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
113,2.408,136,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
114,2.408,0,88.3653794881659,61.0025021596451,54.2665153968418,85.9818287881765,-30.2700797782202,-15.6359402570382,-13.9208782707727,-25.2413040174245
114,2.408,8,88.3687573937458,61.0034370514907,54.2664006420612,85.985340432785,-30.2744717701903,-15.6381919562941,-13.9222282437934,-25.2452136763582
114,2.408,16,88.3711533884098,61.0041007868661,54.266320110752,85.9878312138589,-30.2775851371242,-15.6397881561145,-13.9231855458205,-25.2479850334111
114,2.408,24,88.3735555592428,61.0047667358042,54.266240092697,85.9903283517367,-30.2807049209398,-15.6413876706344,-13.9241451054933,-25.2507620218791
114,2.408,32,88.3769632854423,61.0057123155102,54.2661278161322,85.9938706891274,-30.2851278956782,-15.6436553743276,-13.9255059791716,-25.2546988710899
114,2.408,40,88.3852411688393,61.0080134806416,54.2658611161771,86.0024750301808,-30.295858522146,-15.6491572827436,-13.9288099904153,-25.2642494286823
114,2.408,48,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
114,2.408,56,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
114,2.408,64,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
114,2.408,72,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
114,2.408,80,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
114,2.408,88,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
114,2.408,96,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
114,2.408,104,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
114,2.408,112,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
114,2.408,120,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
114,2.408,128,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
114,2.408,136,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
115,2.408,0,88.3653794881659,61.0025021596451,54.2665153968418,85.9818287881765,-30.2700797782202,-15.6359402570382,-13.9208782707727,-25.2413040174245
115,2.408,8,88.3687573937458,61.0034370514907,54.2664006420612,85.985340432785,-30.2744717701903,-15.6381919562941,-13.9222282437934,-25.2452136763582
115,2.408,16,88.3711533884098,61.0041007868661,54.266320110752,85.9878312138589,-30.2775851371242,-15.6397881561145,-13.9231855458205,-25.2479850334111
115,2.408,24,88.3735555592428,61.0047667358042,54.266240092697,85.9903283517367,-30.2807049209398,-15.6413876706344,-13.9241451054933,-25.2507620218791
115,2.408,32,88.3769632854423,61.0057123155102,54.2661278161322,85.9938706891274,-30.2851278956782,-15.6436553743276,-13.9255059791716,-25.2546988710899
115,2.408,40,88.3852411688393,61.0080134806416,54.2658611161771,86.0024750301808,-30.295858522146,-15.6491572827436,-13.9288099904153,-25.2642494286823
115,2.408,48,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
115,2.408,56,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
115,2.408,64,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
115,2.408,72,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
115,2.408,80,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
115,2.408,88,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
115,2.408,96,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
115,2.408,104,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
115,2.408,112,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
115,2.408,120,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
115,2.408,128,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
115,2.408,136,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
116,2.408,0,88.3653794881659,61.0025021596451,54.2665153968418,85.9818287881765,-30.2700797782202,-15.6359402570382,-13.9208782707727,-25.2413040174245
116,2.408,8,88.3687573937458,61.0034370514907,54.2664006420612,85.985340432785,-30.2744717701903,-15.6381919562941,-13.9222282437934,-25.2452136763582
116,2.408,16,88.3711533884098,61.0041007868661,54.266320110752,85.9878312138589,-30.2775851371242,-15.6397881561145,-13.9231855458205,-25.2479850334111
116,2.408,24,88.3735555592428,61.0047667358042,54.266240092697,85.9903283517367,-30.2807049209398,-15.6413876706344,-13.9241451054933,-25.2507620218791
116,2.408,32,88.3769632854423,61.0057123155102,54.2661278161322,85.9938706891274,-30.2851278956782,-15.6436553743276,-13.9255059791716,-25.2546988710899
116,2.408,40,88.3852411688393,61.0080134806416,54.2658611161771,86.0024750301808,-30.295858522146,-15.6491572827436,-13.9288099904153,-25.2642494286823
116,2.408,48,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
116,2.408,56,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
116,2.408,64,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
116,2.408,72,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
116,2.408,80,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
116,2.408,88,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
116,2.408,96,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
116,2.408,104,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
116,2.408,112,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
116,2.408,120,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
116,2.408,128,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
116,2.408,136,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
117,2.408,0,88.3653794881659,61.0025021596451,54.2665153968418,85.9818287881765,-30.2700797782202,-15.6359402570382,-13.9208782707727,-25.2413040174245
117,2.408,8,88.3687573937458,61.0034370514907,54.2664006420612,85.985340432785,-30.2744717701903,-15.6381919562941,-13.9222282437934,-25.2452136763582
117,2.408,16,88.3711533884098,61.0041007868661,54.266320110752,85.9878312138589,-30.2775851371242,-15.6397881561145,-13.9231855458205,-25.2479850334111
117,2.408,24,88.3735555592428,61.0047667358042,54.266240092697,85.9903283517367,-30.2807049209398,-15.6413876706344,-13.9241451054933,-25.2507620218791
117,2.408,32,88.3769632854423,61.0057123155102,54.2661278161322,85.9938706891274,-30.2851278956782,-15.6436553743276,-13.9255059791716,-25.2546988710899
117,2.408,40,88.3852411688393,61.0080134806416,54.2658611161771,86.0024750301808,-30.295858522146,-15.6491572827436,-13.9288099904153,-25.2642494286823
117,2.408,48,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
117,2.408,56,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
117,2.408,64,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
117,2.408,72,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
117,2.408,80,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
117,2.408,88,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
117,2.408,96,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
117,2.408,104,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
117,2.408,112,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
117,2.408,120,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
117,2.408,128,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
117,2.408,136,87.0428309970468,60.5741166033427,54.2213291550065,84.6166502307497,-28.7599389496483,-14.8559783916851,-13.42177375897,-23.907730560782
118,2.408,0,88.3653794881659,61.0025021596451,54.2665153968418,85.9818287881765,-30.2700797782202,-15.6359402570382,-13.9208782707727,-25.2413040174245
118,2.408,8,88.3687573937458,61.0034370514907,54.2664006420612,85.985340432785,-30.2744717701903,-15.6381919562941,-13.9222282437934,-25.2452136763582
118,2.408,16,88.3711533884098,61.0041007868661,54.266320110752,85.9878312138589,-30.2775851371242,-15.6397881561145,-13.9231855458205,-25.2479850334111
118,2.408,24,88.3735555592428,61.0047667358042,54.266240092697,85.9903283517367,-30.2807049209398,-15.6413876706344,-13.9241451054933,-25.2507620218791
118,2.408,32,88.3769632854423,61.0057123155102,54.2661278161322,85.9938706891274,-30.2851278956782,-15.6436553743276,-13.9255059791716,-25.2546988710899
118,2.408,40,88.3852411688393,61.0080134806416,54.2658611161771,86.0024750301808,-30.295858522146,-15.6491572827436,-13.9288099904153,-25.2642494286823
